#A^1/3	a	b	a/b	
5.2895725	7.171411016	54.6017879	0.1313402233
5.3132928	7.304507806	63.60486048	0.1148419751
5.3368033	7.488074819	81.07237777	0.09236283707
5.3132928	7.03934876	42.37274592	0.1661291617
5.3368033	7.231678876	49.48035897	0.1461525144
5.3601084	17.26814979	94.73988567	0.1822690588
5.3368033	7.017126306	38.53368196	0.1821037064
5.3601084	7.071747004	44.42177262	0.1591955158
5.3601084	6.969423919	35.78490247	0.1947587792
5.3832126	7.240130522	40.71639079	0.1778185733
5.4061202	7.074160299	46.95267404	0.1506657596
5.3832126	6.932316381	33.4518788	0.2072324972
5.4061202	7.075821155	37.30766428	0.1896613281
5.4288352	7.390814846	41.1358477	0.1796684707
5.4513618	7.310730581	45.65268857	0.1601380074
5.5827702	8.234274925	80.75607746	0.1019647708
5.4288352	7.032967428	34.19774026	0.205655911
5.4513618	7.14671032	36.53501756	0.1956126149
5.4737037	7.141693283	39.2969486	0.1817365861
5.4958647	7.096343078	42.71196349	0.1661441549
5.6462162	7.495567385	82.69908082	0.09063664687
5.4513618	7.035131119	31.501502	0.2233268471
5.4958647	7.140547317	34.72400456	0.2056372071
5.5178484	7.264557614	36.63985287	0.19826929
5.5396583	7.331291068	38.48540603	0.1904953546
5.5612978	7.022458269	40.78260264	0.1721924991
5.5827702	7.331754935	43.75424138	0.167566725
5.7082675	7.567550405	75.51210202	0.1002163918
5.5178484	7.070070827	31.28941451	0.2259572747
5.5396583	7.166447391	32.63745279	0.2195774112
5.5827702	7.26520549	35.40298081	0.2052145137
5.6040787	7.324196129	37.20170489	0.1968779697
5.6252263	7.447644576	39.28441294	0.1895826874
5.6462162	7.41098978	41.78092239	0.1773773616
5.7286543	7.324907777	54.6237608	0.1340974636
5.7488971	7.503330524	67.34298164	0.1114196363
5.5827702	7.10970109	31.06503561	0.2288650552
5.6040787	7.198177549	32.57842578	0.2209492134
5.6462162	7.249335538	35.90498603	0.2019033103
5.6670511	7.257069792	37.46763425	0.1936890315
5.6877340	7.259110454	39.68445825	0.1829207396
5.7082675	7.324039968	43.16876131	0.1696606469
5.7286543	7.328046407	47.75630236	0.1534466876
5.7082675	7.313618649	35.61897556	0.2053292812
5.7286543	7.40293176	37.72381272	0.196240285
5.7488971	7.291176842	40.45195224	0.1802428916
5.7689983	7.402761775	44.1399678	0.1677110823
5.7889604	7.183102637	48.63967326	0.1476799114
5.9439220	7.586281712	60.77393774	0.1248278784
5.7488971	7.158096184	30.70533487	0.2331222315
5.7689983	7.236086936	32.27437371	0.2242053402
5.7889604	7.291315808	33.80794922	0.2156686808
5.8087857	7.362001514	35.48387279	0.2074745774
5.8284767	7.350436689	37.44113825	0.1963197978
5.8480355	7.40727383	39.49442254	0.1875524025
5.8674643	7.368099732	41.43415913	0.1778266987
5.8867653	7.365202783	43.0658416	0.1710219169
5.9059406	7.375462073	44.343184	0.1663268491
5.9439220	7.191115235	43.68709843	0.1646050091
5.9627320	7.285122708	26.38107451	0.2761495823
5.9814240	7.52470031	30.15653532	0.24952138
6.0000000	7.676819871	34.20448033	0.2244390149
6.0184617	7.790176059	38.62896831	0.201666687
5.8284767	7.46468218	32.92659008	0.2267068094
5.8867653	7.448796353	36.97135378	0.2014748066
5.9059406	7.436222022	37.90374538	0.1961869981
5.9249921	7.401017044	38.64838053	0.1914961751
5.9439220	7.350647485	39.28844138	0.187094403
5.9627320	7.237682181	37.897809	0.1909789081
5.9814240	7.354467822	26.27905196	0.2798604695
6.0000000	7.643160113	29.5094525	0.2590071813
6.0184617	7.761005452	33.31646847	0.2329480227
6.0368107	7.879324144	37.7794708	0.2085609983
6.0550489	7.987314505	43.28756896	0.1845175115
5.9059406	7.504954266	33.41050301	0.2246285925
5.9439220	7.40803901	34.63910512	0.213863464
5.9627320	7.341163212	35.23021612	0.2083768997
5.9814240	7.279232052	34.06281861	0.2137002265
6.0000000	7.40348449	26.00660086	0.2846771298
6.0184617	7.643171485	28.98886962	0.2636588313
6.0368107	7.745174637	32.63157005	0.2373521907
6.0550489	7.839415307	37.09221138	0.2113493646
6.0731779	7.975644497	42.79476244	0.1863696406
6.0911993	8.117769524	50.859963	0.1596102129
6.0000000	7.294149241	31.40877823	0.2322328232
6.0184617	7.47255783	25.73867896	0.2903240621
6.0368107	7.655951946	28.31455926	0.2703892325
6.0550489	7.736958423	31.19235254	0.248040234
6.0731779	7.786079005	34.73557811	0.224152855
6.0911993	7.916881946	39.3023642	0.2014352599
6.1091147	8.03673658	45.92395817	0.1750009559
6.1269257	8.174107688	53.14470631	0.1538085024
6.1446337	8.320958721	62.10197185	0.1339886395
6.0911993	7.818130164	33.66596785	0.2322265084
6.1091147	7.851884966	38.1098954	0.2060327084
6.1269257	8.006571592	43.26074059	0.185077081
6.1446337	8.103068057	47.88725866	0.1692113578
6.1622401	8.168843159	53.36797414	0.1530663903
6.1797466	8.256324206	56.69399046	0.1456296186
6.1971544	8.381396729	60.71700665	0.138040348
6.1446337	7.895971786	39.46143354	0.2000933843
6.1622401	7.971643173	42.00047348	0.1897988883
6.1797466	8.018331428	45.17180632	0.177507434
6.1971544	8.061422015	47.38476447	0.1701268774
6.2144650	8.174509754	50.42294286	0.1621188548
6.2316797	8.226747461	53.1640898	0.154742562
6.2487998	8.249008693	56.79875432	0.1452322114
6.1971544	7.903505959	40.90398142	0.1932209454
6.2144650	7.933588009	42.3232818	0.187452099
6.2316797	8.1472978	43.95849951	0.1853406711
6.2487998	8.057850775	45.88010115	0.175628444
6.2658266	8.123312088	49.45833004	0.1642455797
6.2827613	8.194396125	52.45725629	0.1562109173
6.2144650	7.779868605	35.82662602	0.2171532591
6.2658266	8.4320002	40.30103851	0.2092253825
6.2827613	8.236626069	44.16957775	0.1864773559
6.2996052	8.040237921	45.12821904	0.1781643081
6.3163596	8.136194158	44.48218213	0.1829090609
6.3330255	8.272452919	46.65863443	0.1772973646
6.2658266	7.921737552	33.69623962	0.2350926288
6.2827613	7.855570499	35.27956705	0.2226662954
6.2996052	7.854975133	37.35703263	0.2102676412
6.3163596	7.871921295	39.46695031	0.1994560318
6.3330255	7.978765144	38.62987077	0.2065439254
6.3496042	8.083056881	40.17462581	0.2011980627
6.3163596	7.766712898	33.69221811	0.2305194889
6.3330255	7.793913103	35.0192639	0.2225607347
6.3496042	7.814675378	33.57050051	0.2327839996
