#A^1/3	a	b	a/b		
5.528774814	7.01102451	37.2936781	0.1879949865
5.550499103	7.296601092	39.68919456	0.1838435164
5.572054656	6.963156367	42.17025994	0.1651200722
5.550499103	7.102175321	33.12133635	0.2144290087
5.572054656	7.118193849	34.47748556	0.2064591931
5.59344471	6.452611592	35.43679016	0.1820879251
5.614672408	7.336095515	38.79847475	0.1890820596
5.656652826	7.347246135	42.51107443	0.1728313442
5.677411371	7.001149454	45.42158367	0.1541370619
5.59344471	7.042805788	31.82626099	0.2212891357
5.614672408	7.059907535	33.33730009	0.2117720246
5.677411371	7.121123696	37.20705458	0.191391761
5.698019215	7.243173029	38.91468698	0.1861295462
5.698019215	6.121782469	34.42192261	0.1778454544
5.798889998	7.179817227	35.01573394	0.2050454587
5.818647867	7.220809096	36.83969763	0.1960061988
5.838272461	7.300938913	38.88971702	0.1877344314
5.857766003	7.301866167	40.73464643	0.1792544384
5.877130659	6.3939169	42.97964723	0.1487661559
5.89636854	7.363696485	44.36817077	0.1659679982
5.9154817	7.271253641	45.28857341	0.1605538239
5.93447214	6.906514297	47.44058106	0.1455824137
5.953341813	6.253623373	31.10358038	0.2010579907
5.97209262	7.281103898	27.67260707	0.2631159356
5.990726415	7.514501533	31.38542726	0.2394264533
5.798889998	7.394064977	31.46651632	0.2349820012
5.857766003	7.332469559	35.27368958	0.2078736205
5.877130659	7.362620574	36.49846307	0.2017241263
5.89636854	6.554282943	37.86815501	0.1730816551
5.9154817	7.393411587	38.70958879	0.1909969033
5.93447214	7.334076173	39.31078068	0.1865665358
5.953341813	6.942158853	40.56350127	0.171142989
5.97209262	6.355304722	29.35551504	0.2164944036
5.990726415	7.376708432	27.37611839	0.2694577926
6.009245007	7.596630013	30.68016261	0.2476072279
6.02765016	7.298912859	34.8364565	0.2095193826
6.045943596	7.397857398	39.36513917	0.1879291564
5.89636854	7.395396119	33.07595191	0.2235883079
5.9154817	7.26700592	34.0768748	0.2132532975
5.93447214	7.374843683	34.67789471	0.2126669956
5.953341813	7.334452454	35.17519236	0.208512078
5.97209262	6.972572488	36.10827573	0.1931017848
5.990726415	6.397524608	27.94888084	0.2289009225
6.009245007	7.398209596	27.04277697	0.2735743302
6.02765016	6.774277281	30.44223148	0.2225289327
6.045943596	7.259355941	36.00646471	0.2016125715
6.064126995	6.375980021	41.43483522	0.1538797002
5.97209262	7.317314135	32.33421544	0.2263025107
5.990726415	6.987324959	33.07243954	0.2112733459
6.009245007	6.434290047	26.87376753	0.2394264236
6.02765016	7.410049171	26.65617761	0.2779861869
6.045943596	6.872347538	29.38792593	0.2338493555
6.064126995	7.013578977	33.50075976	0.2093558184
6.1001702	6.98780683	41.24235335	0.169432786
6.02765016	6.56946541	26.29428178	0.2498438811
6.082201996	7.572789996	32.35108789	0.2340814634
6.118033173	7.82527011	40.04040438	0.1954343426
6.153449494	8.125126048	52.81890972	0.1538298706
6.171005793	6.657192561	55.41791214	0.1201270907
6.188462762	6.511274851	46.10378326	0.1412308143
6.223084253	6.310876404	43.77940196	0.1441517271
6.274305357	6.550956276	50.58553278	0.1295025656
6.257324746	7.751139862	38.09956965	0.2034442891
6.291194552	6.351529081	43.9240353	0.1446025857
6.307993549	6.453143378	44.77893168	0.1441111508
6.307993549	6.17062652	38.02064559	0.1622967318
6.324703543	6.410415359	39.21476532	0.1634694306
6.35786118	6.638435419	41.1316523	0.1613948151
6.341325705	6.44894909	34.12324862	0.1889898925
