#A^1/3	a	b	a/b		
5.75896522	6.078579235	34.42541407	0.1765724364
5.778996565	6.096033672	37.01387318	0.1646959139
5.798889998	6.049000384	40.00950901	0.1511890681
5.93447214	6.408890267	74.37697837	0.08616766111
5.97209262	6.472685051	39.00626154	0.1659396414
5.818647867	7.334379592	33.67560927	0.217795008
5.838272461	7.286890418	35.26501856	0.2066322581
5.857766003	7.332262489	36.93641875	0.1985103791
5.877130659	7.374473206	38.50128433	0.191538369
5.89636854	7.304693768	39.72037974	0.1839029187
5.9154817	7.324919754	40.71812429	0.1798933493
5.93447214	7.221177953	41.53077519	0.1738753471
5.953341813	7.113020353	39.96670665	0.1779736423
5.97209262	7.278692389	25.83713268	0.2817144022
5.990726415	7.311932914	29.23658912	0.250095279
5.857766003	7.398144812	32.5609302	0.2272092586
5.877130659	7.38391046	33.72702412	0.2189315735
5.89636854	7.359429058	34.70753592	0.212041243
5.9154817	7.364754883	35.48669495	0.2075356664
5.93447214	7.336672196	36.13076511	0.2030588662
5.953341813	7.274932248	36.76549477	0.1978739112
5.97209262	7.193782829	35.46151213	0.2028617054
5.990726415	7.370728574	25.66647748	0.2871733599
6.009245007	7.649248107	28.91229131	0.2645673435
6.02765016	7.758636687	32.87349065	0.2360149936
6.045943596	7.609761926	37.91665817	0.2006970628
5.93447214	7.381981548	32.42167716	0.2276866034
5.953341813	7.389387056	32.88970662	0.224671723
5.97209262	7.342727767	33.41594192	0.2197372674
5.990726415	7.236301746	32.36306359	0.2235975505
6.009245007	7.418061251	25.49019166	0.2910162995
6.02765016	7.600428099	28.38273663	0.267783484
6.045943596	7.348977548	32.21331162	0.2281348044
6.064126995	7.371462756	36.94709937	0.1995139776
6.082201996	7.516155054	42.22667932	0.1779954089
6.1001702	7.699670517	49.70450626	0.1549089025
6.009245007	7.277828913	30.20154715	0.2409753672
6.02765016	7.528503197	25.43461644	0.2959943671
6.045943596	7.552857559	27.7168577	0.2725004992
6.064126995	7.314756199	30.77802326	0.2376616632
6.082201996	7.701321127	34.6929545	0.2219851621
6.1001702	7.70069833	38.96129927	0.1976499366
6.118033173	6.50684437	43.93846336	0.1480899392
6.13579244	6.999966843	49.78367225	0.1406076837
6.171005793	6.95100767	50.47021622	0.1377249434
6.188462762	6.666550238	52.86939133	0.1260947038
6.171005793	7.860052557	40.53005633	0.1939314491
6.205821795	6.757846385	45.23565992	0.149392015
6.223084253	6.817832842	47.5190184	0.143475877
6.240251469	6.668327372	49.25786429	0.1353758931
6.257324746	6.757700141	42.39910785	0.1593830739
6.291194552	7.159773355	49.53213423	0.1445480488
6.257324746	6.994809766	35.33018219	0.197983971
6.307993549	7.718199633	42.35851425	0.1822112926
6.324703543	7.948901264	41.46309198	0.191710287	
